horizon,secid,model,rows,test_first_date,test_last_date,mae,rmse,mape_pct,accuracy,balanced_accuracy,precision_up,recall_up,f1_up,true_positive_share,predicted_positive_share,tp,tn,fp,fn
1,IMOEX,NaivePrice,609,2024-01-03,2026-05-26,27.184909688013125,37.36908126575981,0.9570442623036995,0.4876847290640394,0.5,0.0,0.0,0.0,0.5123152709359606,0.0,0.0,297.0,0.0,312.0
1,IMOEX,LastDailyReturn,609,2024-01-03,2026-05-26,37.09477725557897,51.261291125707224,1.3063365442774255,0.5467980295566502,0.5465229215229215,0.5576923076923077,0.5576923076923077,0.5576923076923077,0.5123152709359606,0.5123152709359606,174.0,159.0,138.0,138.0
1,IMOEX,PDT_direction_median_return,609,2024-01-03,2026-05-26,32.282625114804226,42.49755762644935,1.1335768551133596,0.5123152709359606,0.5,0.5123152709359606,1.0,0.6775244299674268,0.5123152709359606,1.0,312.0,0.0,297.0,0.0
1,IMOEX,XGBoostRegressor,609,2024-01-03,2026-05-26,27.125058701594277,37.265161629729555,0.955458001171879,0.5106732348111659,0.5023633773633773,0.5137254901960784,0.8397435897435898,0.6374695863746958,0.5123152709359606,0.8374384236453202,262.0,49.0,248.0,50.0
1,IMOEX,LSTMRegressor,609,2024-01-03,2026-05-26,26.984116559558064,37.062875441699674,0.9502062374468003,0.5402298850574713,0.538979538979539,0.5476190476190477,0.5897435897435898,0.5679012345679013,0.5123152709359606,0.5517241379310345,184.0,145.0,152.0,128.0
1,RTSI,NaivePrice,609,2024-01-03,2026-05-26,12.181756978653533,16.286534370646194,1.1684330763137831,0.48111658456486045,0.5,0.0,0.0,0.0,0.5188834154351396,0.0,0.0,293.0,0.0,316.0
1,RTSI,LastDailyReturn,609,2024-01-03,2026-05-26,16.271224492634936,21.81000760047816,1.5566053065115957,0.5385878489326765,0.5379908843478636,0.5555555555555556,0.5537974683544303,0.554675118858954,0.5188834154351396,0.5172413793103449,175.0,153.0,140.0,141.0
1,RTSI,PDT_direction_median_return,609,2024-01-03,2026-05-26,14.222151615603641,18.33140225874839,1.3606019334615835,0.548440065681445,0.5463666997883094,0.56047197640118,0.6012658227848101,0.5801526717557252,0.5188834154351396,0.5566502463054187,190.0,144.0,149.0,126.0
1,RTSI,XGBoostRegressor,609,2024-01-03,2026-05-26,12.228814063375616,16.381125072845183,1.1726078143312066,0.5041050903119869,0.4894856784896531,0.512962962962963,0.8765822784810127,0.647196261682243,0.5188834154351396,0.8866995073891626,277.0,30.0,263.0,39.0
1,RTSI,LSTMRegressor,609,2024-01-03,2026-05-26,12.227454364629779,16.295463317909913,1.1713585543782767,0.5106732348111659,0.5103469132068951,0.5290322580645161,0.5189873417721519,0.5239616613418531,0.5188834154351396,0.5090311986863711,164.0,147.0,146.0,152.0
5,IMOEX,NaivePrice,605,2024-01-03,2026-05-20,66.62606611570249,89.10284979442355,2.335825112283711,0.5140495867768595,0.5,0.0,0.0,0.0,0.4859504132231405,0.0,0.0,311.0,0.0,294.0
5,IMOEX,LastDailyReturn,605,2024-01-03,2026-05-20,70.60662326835111,95.00240547761514,2.4785079230187206,0.5223140495867769,0.522726775597699,0.5080385852090032,0.5374149659863946,0.5223140495867769,0.4859504132231405,0.5140495867768595,158.0,158.0,153.0,136.0
5,IMOEX,LastHorizonReturn,605,2024-01-03,2026-05-20,96.79388178956563,127.66049654156589,3.3969165435965585,0.5008264462809917,0.5006179320602839,0.4865771812080537,0.4931972789115646,0.48986486486486486,0.4859504132231405,0.4925619834710744,145.0,158.0,153.0,149.0
5,IMOEX,PDT_direction_median_return,605,2024-01-03,2026-05-20,80.7698315342189,104.60950875918398,2.8324582880830262,0.47107438016528924,0.4786512675809874,0.4721030042918455,0.7482993197278912,0.5789473684210525,0.4859504132231405,0.7702479338842976,220.0,65.0,246.0,74.0
5,IMOEX,XGBoostRegressor,605,2024-01-03,2026-05-20,70.46914628466595,93.76738131805435,2.4691387320504234,0.45289256198347105,0.4624537918061115,0.4636542239685658,0.8027210884353742,0.5877957658779576,0.4859504132231405,0.8413223140495868,236.0,38.0,273.0,58.0
5,IMOEX,LSTMRegressor,605,2024-01-03,2026-05-20,67.57462060626104,90.26452869144609,2.3750897417359225,0.509090909090909,0.5181387667607236,0.4969818913480885,0.8401360544217688,0.6245259165613148,0.4859504132231405,0.8214876033057851,247.0,61.0,250.0,47.0
5,RTSI,NaivePrice,605,2024-01-03,2026-05-20,30.539801652892564,40.31558343579558,2.941175428069071,0.5024793388429752,0.5,0.0,0.0,0.0,0.4975206611570248,0.0,0.0,304.0,0.0,301.0
5,RTSI,LastDailyReturn,605,2024-01-03,2026-05-20,31.618352452402263,42.108213813916514,3.0423481482582018,0.5256198347107438,0.5257147228536457,0.5222929936305732,0.5448504983388704,0.5333333333333334,0.4975206611570248,0.5190082644628099,164.0,154.0,150.0,137.0
5,RTSI,LastHorizonReturn,605,2024-01-03,2026-05-20,43.52713084689809,56.782718150177516,4.1805644862447044,0.5107438016528926,0.5107481640146878,0.5082508250825083,0.5116279069767442,0.509933774834437,0.4975206611570248,0.5008264462809917,154.0,155.0,149.0,147.0
5,RTSI,PDT_direction_median_return,605,2024-01-03,2026-05-20,36.83300997138375,46.70634304343517,3.5157858666646162,0.48760330578512395,0.488000524567232,0.48717948717948717,0.5681063122923588,0.5245398773006135,0.4975206611570248,0.5801652892561984,171.0,124.0,180.0,130.0
5,RTSI,XGBoostRegressor,605,2024-01-03,2026-05-20,30.705013105422008,41.130822812279064,2.9550017488165574,0.48925619834710743,0.4913828903654485,0.4928825622775801,0.920265780730897,0.641946697566628,0.4975206611570248,0.9289256198347108,277.0,19.0,285.0,24.0
5,RTSI,LSTMRegressor,605,2024-01-03,2026-05-20,30.302677551697105,40.11936141905231,2.929288604215175,0.5206611570247934,0.5223542140234306,0.5108055009823183,0.8637873754152824,0.6419753086419754,0.4975206611570248,0.8413223140495868,260.0,55.0,249.0,41.0
