secid,rows,first_date,last_date,currency,first_close,last_close,min_close,max_close,mean_close,std_close,mean_return_1d,std_return_1d
IMOEX,2864,2015-01-05,2026-05-27,RUB,1435.66,2590.24,1435.66,4287.52,2590.5018924581004,601.3361831566139,0.00031836005595066273,0.014622155678660239
RTSI,2863,2015-01-05,2026-05-27,USD,761.3,1150.87,628.41,1919.58,1139.875805099546,221.4568241952396,0.00035357393156964676,0.01998774865988414
