horizon,secid,model,rows,first_date,last_date,cost_bps,min_signal_bps,exposure,entries,strategy_total_return,strategy_annual_return,strategy_volatility,strategy_sharpe,strategy_max_drawdown,strategy_hit_rate,buy_hold_total_return,buy_hold_annual_return,buy_hold_volatility,buy_hold_sharpe,buy_hold_max_drawdown,buy_hold_hit_rate
1,IMOEX,LSTMRegressor,609,2024-01-03,2026-05-26,5.0,0.0,0.5517241379310345,119,0.0867912711921568,0.035039738614732974,0.15171877718320612,0.30209668913152343,-0.23223179378700853,0.29720853858784896,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,IMOEX,LastDailyReturn,609,2024-01-03,2026-05-26,5.0,0.0,0.5123152709359606,138,0.18012208252167872,0.07093440370866322,0.14711258048730383,0.5386762880235325,-0.20876884964106512,0.28078817733990147,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,IMOEX,NaivePrice,609,2024-01-03,2026-05-26,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,IMOEX,PDT_direction_median_return,609,2024-01-03,2026-05-26,5.0,0.0,1.0,1,-0.17292106593546774,-0.07555410048965638,0.21172911958574991,-0.265637530162954,-0.32118084805633174,0.5123152709359606,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,IMOEX,XGBoostRegressor,609,2024-01-03,2026-05-26,5.0,0.0,0.8374384236453202,73,-0.15334642580661118,-0.06656273204353946,0.17935497697076336,-0.29497675274918495,-0.24729430934704255,0.4269293924466338,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,RTSI,LSTMRegressor,609,2024-01-03,2026-05-26,5.0,0.0,0.5090311986863711,52,0.26488285294265146,0.10211702824222502,0.17116179395337464,0.653058231436632,-0.1665452016745388,0.2676518883415435,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
1,RTSI,LastDailyReturn,609,2024-01-03,2026-05-26,5.0,0.0,0.5172413793103449,140,0.40339353679271595,0.15054034028781849,0.1686265782002266,0.9153791291318779,-0.21810033369892579,0.28078817733990147,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
1,RTSI,NaivePrice,609,2024-01-03,2026-05-26,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
1,RTSI,PDT_direction_median_return,609,2024-01-03,2026-05-26,5.0,0.0,0.5566502463054187,118,0.2704482714811507,0.10412103573871101,0.19218713741180246,0.6101938076980475,-0.20620209258288003,0.30870279146141216,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
1,RTSI,XGBoostRegressor,609,2024-01-03,2026-05-26,5.0,0.0,0.8866995073891626,59,-0.07629769719054436,-0.03230746636228132,0.2229155447111352,-0.03631130155435841,-0.32127169812824174,0.4548440065681445,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
5,IMOEX,LSTMRegressor,121,2024-01-03,2026-05-14,5.0,0.0,0.8016528925619835,11,-0.019311757096862503,-0.008089691988071523,0.21421930057811342,0.06881804123189823,-0.24646916526343232,0.4380165289256198,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,LastDailyReturn,121,2024-01-03,2026-05-14,5.0,0.0,0.47107438016528924,27,-0.18208372544259765,-0.08031159541084254,0.13571483816552685,-0.5475963801286676,-0.22365063597411106,0.256198347107438,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,LastHorizonReturn,121,2024-01-03,2026-05-14,5.0,0.0,0.5206611570247934,33,-0.2363622275727656,-0.1062434956352094,0.1609590680595516,-0.6164444000146472,-0.2764326649953568,0.256198347107438,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,NaivePrice,121,2024-01-03,2026-05-14,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,PDT_direction_median_return,121,2024-01-03,2026-05-14,5.0,0.0,0.7851239669421488,17,-0.08315107025640489,-0.03551398274181661,0.23546919110163556,-0.03629686348062301,-0.26809118369305407,0.4132231404958678,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,XGBoostRegressor,121,2024-01-03,2026-05-14,5.0,0.0,0.8512396694214877,12,-0.3271360971038715,-0.1521349878219248,0.21730239174329247,-0.6499150091846138,-0.44257616742308614,0.4049586776859504,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,RTSI,LSTMRegressor,121,2024-01-03,2026-05-14,5.0,0.0,0.8429752066115702,12,0.07557259854268694,0.030810568492765533,0.26028563143664646,0.24616170982359611,-0.3961797192924166,0.4462809917355372,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
5,RTSI,LastDailyReturn,121,2024-01-03,2026-05-14,5.0,0.0,0.47107438016528924,28,0.06104568253738685,0.024988492817052954,0.15105653405918762,0.23949191942451437,-0.2606658376502088,0.256198347107438,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
5,RTSI,LastHorizonReturn,121,2024-01-03,2026-05-14,5.0,0.0,0.512396694214876,29,0.030011452256490045,0.012392890632286768,0.20188846484116404,0.1604508912055813,-0.22616774019375674,0.2809917355371901,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
5,RTSI,NaivePrice,121,2024-01-03,2026-05-14,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
5,RTSI,PDT_direction_median_return,121,2024-01-03,2026-05-14,5.0,0.0,0.5950413223140496,28,-0.09175143014098086,-0.03929277230230266,0.23160288539211585,-0.05827458776040451,-0.2872706697851718,0.2644628099173554,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
5,RTSI,XGBoostRegressor,121,2024-01-03,2026-05-14,5.0,0.0,0.9504132231404959,6,-0.13723029466309866,-0.059630864870726885,0.281079352218521,-0.08000652320799836,-0.3961797192924168,0.47107438016528924,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
