horizon,secid,model,rows,first_date,last_date,cost_bps,min_signal_bps,exposure,entries,strategy_total_return,strategy_annual_return,strategy_volatility,strategy_sharpe,strategy_max_drawdown,strategy_hit_rate,buy_hold_total_return,buy_hold_annual_return,buy_hold_volatility,buy_hold_sharpe,buy_hold_max_drawdown,buy_hold_hit_rate
1,IMOEX,LSTMRegressor,609,2024-01-03,2026-05-26,0.0,0.0,0.5517241379310345,119,0.22415956958928618,0.08729345009563327,0.1515792497711925,0.6272304403141578,-0.19527695408119716,0.3021346469622332,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,IMOEX,LastDailyReturn,609,2024-01-03,2026-05-26,0.0,0.0,0.5123152709359606,138,0.35466174016991525,0.1338372031161994,0.14716086497524067,0.9265337430387244,-0.1551853134703286,0.2857142857142857,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,IMOEX,NaivePrice,609,2024-01-03,2026-05-26,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,IMOEX,PDT_direction_median_return,609,2024-01-03,2026-05-26,0.0,0.0,1.0,1,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,IMOEX,XGBoostRegressor,609,2024-01-03,2026-05-26,0.0,0.0,0.8374384236453202,73,-0.08963590076735561,-0.0381142318512292,0.17927167401381436,-0.12777003853088112,-0.2230380349057619,0.4302134646962233,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,RTSI,LSTMRegressor,609,2024-01-03,2026-05-26,0.0,0.0,0.5090311986863711,52,0.33221939115111665,0.12602643559531712,0.17143808552278292,0.7775160310589699,-0.14929970714081464,0.26929392446633826,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
1,RTSI,LastDailyReturn,609,2024-01-03,2026-05-26,0.0,0.0,0.5172413793103449,140,0.6141287561961966,0.21911137253460256,0.16865661195763357,1.2587012292023114,-0.1945173628811988,0.28735632183908044,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
1,RTSI,NaivePrice,609,2024-01-03,2026-05-26,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
1,RTSI,PDT_direction_median_return,609,2024-01-03,2026-05-26,0.0,0.0,0.5566502463054187,118,0.4294405877858851,0.15932891004232919,0.1922714731402797,0.8638774367407469,-0.19050667874558636,0.31198686371100165,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
1,RTSI,XGBoostRegressor,609,2024-01-03,2026-05-26,0.0,0.0,0.8866995073891626,59,-0.02061472951896115,-0.008582344082217253,0.22286267706604848,0.07229807699828038,-0.3099597552147575,0.4548440065681445,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
5,IMOEX,LSTMRegressor,121,2024-01-03,2026-05-14,0.0,0.0,0.8016528925619835,11,-0.008971629239219236,-0.0037467705369763626,0.21424589038187128,0.08922321144545411,-0.24572543037944172,0.4380165289256198,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,LastDailyReturn,121,2024-01-03,2026-05-14,0.0,0.0,0.47107438016528924,27,-0.1597755733299091,-0.06994537494103947,0.13612424136713236,-0.4633316776205265,-0.21311669246510034,0.256198347107438,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,LastHorizonReturn,121,2024-01-03,2026-05-14,0.0,0.0,0.5206611570247934,33,-0.21109875670862543,-0.0940443223271259,0.16103400876762664,-0.5320933553724464,-0.26507449331063526,0.256198347107438,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,NaivePrice,121,2024-01-03,2026-05-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,PDT_direction_median_return,121,2024-01-03,2026-05-14,0.0,0.0,0.7851239669421488,17,-0.06785997576528158,-0.028846189040431125,0.23542012197974618,-0.007110971638717935,-0.26582869487540794,0.4214876033057851,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,XGBoostRegressor,121,2024-01-03,2026-05-14,0.0,0.0,0.8512396694214877,12,-0.3193812146651259,-0.1480783519772818,0.2174560856150675,-0.6274278454665542,-0.4375560983350898,0.4049586776859504,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,RTSI,LSTMRegressor,121,2024-01-03,2026-05-14,0.0,0.0,0.8429752066115702,12,0.08795143215206269,0.03573563619611653,0.26036871565888403,0.264480463973275,-0.39617971929241713,0.4462809917355372,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
5,RTSI,LastDailyReturn,121,2024-01-03,2026-05-14,0.0,0.0,0.47107438016528924,28,0.09104484506097466,0.03696127531177451,0.15135132849717436,0.3160833120912968,-0.25245655838274905,0.256198347107438,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
5,RTSI,LastHorizonReturn,121,2024-01-03,2026-05-14,0.0,0.0,0.512396694214876,29,0.05963002691348285,0.02441864771319735,0.20219123228989413,0.21892273956069627,-0.22265671072230053,0.2809917355371901,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
5,RTSI,NaivePrice,121,2024-01-03,2026-05-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
5,RTSI,PDT_direction_median_return,121,2024-01-03,2026-05-14,0.0,0.0,0.5950413223140496,28,-0.06641177682775112,-0.02821800987727241,0.2316409222198247,-0.008815442436645313,-0.28040064341034443,0.2644628099173554,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
5,RTSI,XGBoostRegressor,121,2024-01-03,2026-05-14,0.0,0.0,0.9504132231404959,6,-0.1324666822848819,-0.057471694128296225,0.28107707267682375,-0.07185670618134511,-0.3961797192924168,0.47107438016528924,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
1,IMOEX,LSTMRegressor,609,2024-01-03,2026-05-26,0.0,10.0,0.2512315270935961,93,0.5590948318433866,0.20173669779399828,0.11030222143409324,1.7205309442885652,-0.10506466233437883,0.15270935960591134,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,IMOEX,LastDailyReturn,609,2024-01-03,2026-05-26,0.0,10.0,0.4729064039408867,141,0.21320967035826688,0.08325843987735082,0.1423231360454228,0.6323767337511824,-0.12581757571217977,0.2594417077175698,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,IMOEX,NaivePrice,609,2024-01-03,2026-05-26,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,IMOEX,PDT_direction_median_return,609,2024-01-03,2026-05-26,0.0,10.0,1.0,1,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,IMOEX,XGBoostRegressor,609,2024-01-03,2026-05-26,0.0,10.0,0.026272577996715927,15,0.1338507851248827,0.05335523335604253,0.05412795527063118,0.9869890114932881,-0.025638636410720395,0.014778325123152709,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,RTSI,LSTMRegressor,609,2024-01-03,2026-05-26,0.0,10.0,0.34811165845648606,55,0.1568354081313328,0.06213896285326714,0.14503742663292124,0.4874169017416871,-0.15371300484679395,0.18226600985221675,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
1,RTSI,LastDailyReturn,609,2024-01-03,2026-05-26,0.0,10.0,0.47783251231527096,145,0.6031035085482215,0.21565875430228543,0.16245157898829898,1.2829768705013045,-0.13861476748579193,0.26436781609195403,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
1,RTSI,NaivePrice,609,2024-01-03,2026-05-26,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
1,RTSI,PDT_direction_median_return,609,2024-01-03,2026-05-26,0.0,10.0,0.5566502463054187,118,0.4294405877858851,0.15932891004232919,0.1922714731402797,0.8638774367407469,-0.19050667874558636,0.31198686371100165,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
1,RTSI,XGBoostRegressor,609,2024-01-03,2026-05-26,0.0,10.0,0.04926108374384237,21,0.06600062783840399,0.026799966225023564,0.06982759698971405,0.41353239563986094,-0.09227034286571378,0.027914614121510674,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
5,IMOEX,LSTMRegressor,121,2024-01-03,2026-05-14,0.0,10.0,0.743801652892562,13,0.06794455648289155,0.027759173833102002,0.19838056013867786,0.2366008867463573,-0.24572543037944172,0.4132231404958678,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,LastDailyReturn,121,2024-01-03,2026-05-14,0.0,10.0,0.4380165289256198,28,-0.1545614636394571,-0.06754569072904149,0.1346269297533928,-0.45087736551375734,-0.19967014300101538,0.2396694214876033,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,LastHorizonReturn,121,2024-01-03,2026-05-14,0.0,10.0,0.49586776859504134,34,-0.18641714080587046,-0.08234432671455483,0.1593828783488995,-0.4589226759580037,-0.2650744933106354,0.2396694214876033,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,NaivePrice,121,2024-01-03,2026-05-14,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,PDT_direction_median_return,121,2024-01-03,2026-05-14,0.0,10.0,0.7851239669421488,17,-0.06785997576528158,-0.028846189040431125,0.23542012197974618,-0.007110971638717935,-0.26582869487540794,0.4214876033057851,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,XGBoostRegressor,121,2024-01-03,2026-05-14,0.0,10.0,0.7851239669421488,16,-0.3107132627303043,-0.14357587384575765,0.21469664557270265,-0.6138010468178687,-0.4108930848809461,0.371900826446281,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,RTSI,LSTMRegressor,121,2024-01-03,2026-05-14,0.0,10.0,0.7933884297520661,17,0.34939901481447233,0.13294085010540635,0.2521402680385596,0.6210639081163242,-0.36877289854317463,0.4462809917355372,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
5,RTSI,LastDailyReturn,121,2024-01-03,2026-05-14,0.0,10.0,0.4380165289256198,29,0.21733393145927904,0.0853645235733631,0.1405553594598486,0.6536000462039191,-0.1923900411570615,0.24793388429752067,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
5,RTSI,LastHorizonReturn,121,2024-01-03,2026-05-14,0.0,10.0,0.512396694214876,29,0.05963002691348285,0.02441864771319735,0.20219123228989413,0.21892273956069627,-0.22265671072230053,0.2809917355371901,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
5,RTSI,NaivePrice,121,2024-01-03,2026-05-14,0.0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
5,RTSI,PDT_direction_median_return,121,2024-01-03,2026-05-14,0.0,10.0,0.5950413223140496,28,-0.06641177682775112,-0.02821800987727241,0.2316409222198247,-0.008815442436645313,-0.28040064341034443,0.2644628099173554,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
5,RTSI,XGBoostRegressor,121,2024-01-03,2026-05-14,0.0,10.0,0.8016528925619835,15,-0.1450272346174114,-0.06317999399926255,0.23628262343980566,-0.15875845157917348,-0.3360407383794237,0.4049586776859504,0.10482322902883401,0.04239591823905209,0.2938878483363203,0.28618967097429737,-0.3961797192924168,0.512396694214876
1,IMOEX,LSTMRegressor,609,2024-01-03,2026-05-26,0.0,25.0,0.060755336617405585,35,0.20817124444814827,0.08139462047244161,0.05874914640641458,1.3611655035922017,-0.027272719820906177,0.03940886699507389,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,IMOEX,LastDailyReturn,609,2024-01-03,2026-05-26,0.0,25.0,0.3973727422003284,145,0.08173264052029738,0.03304346224742161,0.1388531345428848,0.3027703794902817,-0.17161818412144558,0.20361247947454844,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,IMOEX,NaivePrice,609,2024-01-03,2026-05-26,0.0,25.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,IMOEX,PDT_direction_median_return,609,2024-01-03,2026-05-26,0.0,25.0,1.0,1,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,IMOEX,XGBoostRegressor,609,2024-01-03,2026-05-26,0.0,25.0,0.014778325123152709,9,0.09660579505229672,0.0388973436690625,0.04403221428969997,0.8882364945302855,-0.018879080644488733,0.009852216748768473,-0.17250809045979199,-0.07536312461681516,0.21173091607109928,-0.2646581088790746,-0.3211808480563315,0.5123152709359606
1,RTSI,LSTMRegressor,609,2024-01-03,2026-05-26,0.0,25.0,0.06403940886699508,22,0.28035540277620985,0.10767572104981826,0.06929305311106207,1.510272536646053,-0.028440960338500076,0.041050903119868636,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
1,RTSI,LastDailyReturn,609,2024-01-03,2026-05-26,0.0,25.0,0.41707717569786534,135,0.6983118636964432,0.2450294711488188,0.1574310061900209,1.4705619969468402,-0.12141345759741451,0.2413793103448276,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
1,RTSI,NaivePrice,609,2024-01-03,2026-05-26,0.0,25.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
1,RTSI,PDT_direction_median_return,609,2024-01-03,2026-05-26,0.0,25.0,0.5566502463054187,118,0.4294405877858851,0.15932891004232919,0.1922714731402797,0.8638774367407469,-0.19050667874558636,0.31198686371100165,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
1,RTSI,XGBoostRegressor,609,2024-01-03,2026-05-26,0.0,25.0,0.0049261083743842365,3,-0.009915200500013044,-0.004114828093424117,0.03291356321016898,-0.10860260913074007,-0.04189345371568565,0.003284072249589491,0.07243230147046464,0.029358960876686435,0.2539567896699732,0.23991680088175577,-0.40028220848770735,0.5188834154351396
5,IMOEX,LSTMRegressor,121,2024-01-03,2026-05-14,0.0,25.0,0.6033057851239669,18,0.024245658949973325,0.010028484777493407,0.17959620783126967,0.14466130345330735,-0.16632375718706283,0.3305785123966942,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,LastDailyReturn,121,2024-01-03,2026-05-14,0.0,25.0,0.35537190082644626,27,-0.010973826649395502,-0.004585635174617297,0.12034805095241755,0.02287639061483479,-0.13911385169343626,0.2231404958677686,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,LastHorizonReturn,121,2024-01-03,2026-05-14,0.0,25.0,0.48760330578512395,34,-0.16572303567716207,-0.07269320130096235,0.15866471245005367,-0.3958818785278609,-0.24638109837817146,0.2396694214876033,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,NaivePrice,121,2024-01-03,2026-05-14,0.0,25.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,PDT_direction_median_return,121,2024-01-03,2026-05-14,0.0,25.0,0.7851239669421488,17,-0.06785997576528158,-0.028846189040431125,0.23542012197974618,-0.007110971638717935,-0.26582869487540794,0.4214876033057851,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
5,IMOEX,XGBoostRegressor,121,2024-01-03,2026-05-14,0.0,25.0,0.6446280991735537,17,-0.05285428699343664,-0.022364610680400188,0.18117240523656453,-0.03530656062815996,-0.23905810298799535,0.3305785123966942,-0.14885168182529362,-0.06492776862985916,0.24221124849662165,-0.15639023378622263,-0.3151160512607739,0.5206611570247934
