secid,date,future_date,close,future_close,future_return,target_up,horizon,model,predicted_return,predicted_close,predicted_up,position,position_change,transaction_cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity,cost_bps
IMOEX,2024-01-03,2024-01-04,3130.23,3136.07,0.0018656776019654,1,1,LSTMRegressor,0.0005137977862847,3131.8383052445624,1,1,1,0.0005,0.0013656776019654,0.0018656776019654,1.0013656776019655,1.0018656776019654,5.0
IMOEX,2024-01-04,2024-01-05,3136.07,3136.37,9.5661130012914e-05,1,1,LSTMRegressor,0.0005602695292688,3137.827044462654,1,1,0,0.0,9.5661130012914e-05,9.5661130012914e-05,1.001461469374241,1.001961517204806,5.0
IMOEX,2024-01-05,2024-01-08,3136.37,3158.58,0.0070814349072334,1,1,LSTMRegressor,0.0004430393723901,3137.7595353963834,1,1,0,0.0,0.0070814349072334,0.0070814349072334,1.008553253581717,1.0090568424684447,5.0
IMOEX,2024-01-08,2024-01-09,3158.58,3155.55,-0.000959291833672,0,1,LSTMRegressor,0.0012662903405476,3162.5796793438467,1,1,0,0.0,-0.000959291833672,-0.000959291833672,1.0075857566817328,1.008088862479754,5.0
IMOEX,2024-01-09,2024-01-10,3155.55,3164.7,0.0028996529923466,1,1,LSTMRegressor,0.0009814727670969,3158.6470863902127,1,1,0,0.0,0.0028996529923466,0.0028996529923466,1.0105074057361407,1.0110119703663947,5.0
IMOEX,2024-01-10,2024-01-11,3164.7,3181.25,0.0052295636237242,1,1,LSTMRegressor,0.0012301602059272,3168.5930880036976,1,1,0,0.0,0.0052295636237242,0.0052295636237242,1.0157919185066824,1.0162991217897726,5.0
IMOEX,2024-01-11,2024-01-12,3181.25,3185.22,0.0012479371316305,1,1,LSTMRegressor,0.0016084855568395,3186.3669946776954,1,1,0,0.0,0.0012479371316305,0.0012479371316305,1.0170595629597972,1.0175673992006975,5.0
IMOEX,2024-01-12,2024-01-15,3185.22,3184.88,-0.0001067430193203,0,1,LSTMRegressor,0.0013740857167551,3189.596765306723,1,1,0,0.0,-0.0001067430193203,-0.0001067430193203,1.0169509989512182,1.0174587809841449,5.0
IMOEX,2024-01-15,2024-01-16,3184.88,3179.45,-0.0017049307980206,0,1,LSTMRegressor,0.0013519008666033,3189.185642032028,1,1,0,0.0,-0.0017049307980206,-0.0017049307980206,1.0152171678730284,1.0157240841727286,5.0
IMOEX,2024-01-16,2024-01-17,3179.45,3185.23,0.0018179244837943,1,1,LSTMRegressor,0.0010123163930906,3182.668609356012,1,1,0,0.0,0.0018179244837943,0.0018179244837943,1.0170627560188732,1.0175705938541257,5.0
IMOEX,2024-01-17,2024-01-18,3185.23,3178.85,-0.0020029950741391,0,1,LSTMRegressor,0.001116347366376,3188.785823121802,1,1,0,0.0,-0.0020029950741391,-0.0020029950741391,1.015025584328477,1.015532404967047,5.0
IMOEX,2024-01-18,2024-01-19,3178.85,3166.37,-0.0039259480629787,0,1,LSTMRegressor,0.000977405496486,3181.957025462505,1,1,0,0.0,-0.0039259480629787,-0.0039259480629787,1.0110406466018087,1.0115454774888746,5.0
IMOEX,2024-01-19,2024-01-22,3166.37,3172.15,0.0018254341722541,1,1,LSTMRegressor,0.0003089988659546,3167.3484047391926,1,1,0,0.0,0.0018254341722541,0.0018254341722541,1.0128862347476535,1.013391987170272,5.0
IMOEX,2024-01-22,2024-01-23,3172.15,3175.74,0.0011317245401383,1,1,LSTMRegressor,0.0004603527075609,3173.61030784129,1,1,0,0.0,0.0011317245401383,0.0011317245401383,1.0140325429558856,1.014538867750932,5.0
IMOEX,2024-01-23,2024-01-24,3175.74,3162.41,-0.0041974468942671,0,1,LSTMRegressor,0.0006732133787834,3177.8779506555375,1,1,0,0.0,-0.0041974468942671,-0.0041974468942671,1.0097761952077697,1.0102803947313774,5.0
