secid,max_drawdown,max_drawdown_date,peak_before_max_drawdown,close_at_max_drawdown
IMOEX,-0.5528953800798597,2022-10-10,4287.52,1916.97
RTSI,-0.6213859281717875,2024-11-27,1919.58,726.78
