secid,date,open,high,low,close,value,return_1d,gap_pct,reason
IMOEX,2022-01-07,3772.04,3772.04,3772.04,3772.04,0.0,0.004995617178528811,0.004995617178528811,zero_or_missing_value
IMOEX,2022-02-24,2735.88,2740.31,1681.55,2058.12,246452894354.77,-0.33280600634089097,-0.11309218929310083,abs_return_gt_20pct
RTSI,2022-02-24,1061.74,1061.74,610.33,742.91,2814962443.8206983,-0.39437836780278646,-0.13446755088897766,abs_return_gt_20pct
IMOEX,2022-02-25,2261.33,2552.46,2256.09,2470.48,189354389723.36,0.2003576079140188,0.098735739412668,abs_return_gt_20pct
RTSI,2022-02-25,808.76,962.74,808.76,936.94,2279634131.999735,0.2611756471174167,0.08863792384003455,abs_return_gt_20pct
